UserId,QuestionId,AcceptedAnswerId,CreationDate,Score,ViewCount,IsCommunityOwned,Tag,AnswerCount,CommentCount,FavouriteCount
781,38779,40472,2008-09-02T03:41:06.880,6,6282,false,wcf,2,0,null
781,38779,40472,2008-09-02T03:41:06.880,6,6282,false,security,2,0,null
781,38779,40472,2008-09-02T03:41:06.880,6,6282,false,spn,2,0,null
4149,38784,41285,2008-09-02T03:49:17.920,7,3474,false,visual-studio,8,1,null
4149,38784,41285,2008-09-02T03:49:17.920,7,3474,false,delphi,8,1,null
4149,38784,41285,2008-09-02T03:49:17.920,7,3474,false,brief-bookmarks,8,1,null
3149,38789,38792,2008-09-02T03:59:44.417,4,4406,false,c#,1,0,null
3149,38789,38792,2008-09-02T03:59:44.417,4,4406,false,asp.net,1,0,null
3149,38789,38792,2008-09-02T03:59:44.417,4,4406,false,web-services,1,0,null
191,38791,38793,2008-09-02T04:01:09.827,4,2483,false,database-design,6,1,null
2027,38801,48298,2008-09-02T04:10:50.413,48,28274,false,sql,9,0,null
2027,38801,48298,2008-09-02T04:10:50.413,48,28274,false,sql-server,9,0,null
2027,38801,48298,2008-09-02T04:10:50.413,48,28274,false,oracle,9,0,null
2027,38801,48298,2008-09-02T04:10:50.413,48,28274,false,database-design,9,0,null
2027,38801,48298,2008-09-02T04:10:50.413,48,28274,false,hierarchy,9,0,null
191,38820,38829,2008-09-02T04:34:20.963,46,16483,false,oop,11,1,null
191,38820,38829,2008-09-02T04:34:20.963,46,16483,false,class-design,11,1,null
3153,38822,49780,2008-09-02T04:36:54.623,4,4430,false,c++,5,2,null
3153,38822,49780,2008-09-02T04:36:54.623,4,4430,false,sql-server,5,2,null
3153,38822,49780,2008-09-02T04:36:54.623,4,4430,false,full-text-search,5,2,null
3153,38822,49780,2008-09-02T04:36:54.623,4,4430,false,lucene,5,2,null
3153,38822,49780,2008-09-02T04:36:54.623,4,4430,false,lucene.net,5,2,null
5,38824,38851,2008-09-02T04:38:06.430,7,1181,false,asp.net,3,0,null
5,38824,38851,2008-09-02T04:38:06.430,7,1181,false,iis,3,0,null
5,38824,38851,2008-09-02T04:38:06.430,7,1181,false,wiki,3,0,null
